"filename", "language", "SCSS", "Markdown", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"d:\ahki\public\Emoji\pack2\wedding-couple-5.svg", "XML", 0, 0, 0, 0, 185, 1, 9, 195
"d:\ahki\public\Emoji\pack2\wedding-couple-6.svg", "XML", 0, 0, 0, 0, 334, 1, 9, 344
"d:\ahki\public\Emoji\pack2\wedding-couple-7.svg", "XML", 0, 0, 0, 0, 220, 1, 12, 233
"d:\ahki\public\Emoji\pack2\wedding-couple-8.svg", "XML", 0, 0, 0, 0, 175, 1, 5, 181
"d:\ahki\public\Emoji\pack2\wedding-couple-9.svg", "XML", 0, 0, 0, 0, 290, 1, 5, 296
"d:\ahki\public\Emoji\pack2\wedding-couple.svg", "XML", 0, 0, 0, 0, 171, 1, 8, 180
"d:\ahki\public\Emoji\pack3\001-bored.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\002-scared.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\003-angry.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\004-happy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\005-love.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\006-silly.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\007-shocked.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\008-Excited.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\009-death.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\010-happy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\pack3\011-Excited.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
